"","feature","freq","prev","p.freq","p.prev","p","contaminant","frequency","Taxon","Confidence","Consensus","Method"
"1","2a5a83b99aa3bcd662a2df2c5b20c0a7",0.000674605379183166,3,NA,0.0599925953350611,0.0599925953350611,TRUE,47,"Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X;Embryophyceae_XX;Zea;Zea_mays;","","0.787","VSEARCH"
"2","2757b3e1cba3a398e3e1139105ac8e8e",7.4152061423273e-05,2,NA,0.0399999999999999,0.0399999999999999,TRUE,10,"Eukaryota","0.999829743","1","sklearn"
"3","88a86b8263aebed9ce1346f52f33f46c",0.000252732175387444,15,NA,0.296630877452795,0.296630877452795,TRUE,170,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_danicus;","","1","VSEARCH"
"4","dc786b74de78172315b4258e750bcf75",5.77333978300372e-05,3,NA,0.0599925953350611,0.0599925953350611,TRUE,23,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros_socialis;","0.980626218","1","sklearn"
"5","50c98c045e38d899a9dc5b3c18fdcc3b",8.63889874781981e-05,2,NA,0.0399999999999999,0.0399999999999999,TRUE,9,"Eukaryota","0.999737811","1","sklearn"
"6","70ecc9d655184eecdf9cf24495c47085",0.000259142156521592,12,NA,0.238370973713439,0.238370973713439,TRUE,353,"Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;","0.999999906","1","sklearn"
"7","d12457ad0bd8bdcf0d32beee9a306ee0",0.000109652906239708,5,NA,0.0999259533506109,0.0999259533506109,TRUE,20,"Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae_2;Frontoniidae_2_X;Frontoniidae_2_X_sp.;","","1","VSEARCH"
"8","b4e8560f0fdfdd48af6da12e0cc475b1",0.000141202093154328,17,NA,0.33496482784154,0.33496482784154,TRUE,392,"Eukaryota;Excavata;Discoba;Euglenozoa;Kinetoplastea","0.99904474","1","sklearn"
"9","23407b7a0f2006b21941819c4523ca3f",0.000383739332100164,13,NA,0.257882265827471,0.257882265827471,TRUE,1354,"Eukaryota;TSAR;Alveolata;Alveolata_X;Ellobiopsidae;Ellobiopsidae_X;Ellobiopsidae_XX;Thalassomyces;Thalassomyces_fagei;","","1","VSEARCH"
"10","e4173427721763992e99c132acb162d0",0.000145097932410225,3,NA,0.0599925953350611,0.0599925953350611,TRUE,26,"Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Cryothecomonas-lineage;Cryothecomonas","0.935847948","1","sklearn"
"11","35444b9c3a4a12fd4581fcc21bae4f4c",0.00146085626042129,14,NA,0.0464938911514254,0.0464938911514254,TRUE,271,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;Cyclotella_meneghiniana;","","1","VSEARCH"
"12","a81cf6cd68b530cc53035fa6b4f90c91",8.41051303846485e-05,23,NA,0.446886338393188,0.446886338393188,TRUE,179,"Eukaryota;Obazoa;Opisthokonta","0.990928402","1","sklearn"
"13","eb26dcff289b3cafa558e9c421e24c5d",0.000148585169253432,7,NA,0.139740836727138,0.139740836727138,TRUE,45,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X_sp.;","0.999999998","1","sklearn"
"14","f68ed4354cd890e7e02dac935aae181f",0.000200489372679913,2,NA,0.0399999999999999,0.0399999999999999,TRUE,14,"Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes","","1","VSEARCH"
"15","3c34788071c92214e75a6a0f3ef84f46",0.000297468690955745,16,NA,0.31585338763421,0.31585338763421,TRUE,539,"Eukaryota","0.994908477","1","sklearn"
"16","529d4e9dc2ece00ad8b63378dda9160a",0.000357356709347587,6,NA,0.119851906701222,0.119851906701222,TRUE,99,"Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Aspergillus;Aspergillus_penicillioides;","","1","VSEARCH"
"17","35913e55ca98beff2f76793513b57b1c",0.000812369342278857,23,NA,0.446886338393188,0.446886338393188,TRUE,3842,"Eukaryota;TSAR;Alveolata","0.958855607","1","sklearn"
"18","d374d26ab8092e0f0a262590b456431c",0.000132014155338409,20,NA,0.391558681969641,0.391558681969641,TRUE,117,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_minimus;","","1","VSEARCH"
"19","ed5be4ce731da3311b403560e07a7402",0.00011676288319779,3,NA,0.0599925953350611,0.0599925953350611,TRUE,22,"Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia","0.984077709","1","sklearn"
"20","d52adfaddf410dde24fb80eda8ddf2d1",0.00026417346169749,24,NA,0.465012958163643,0.465012958163643,TRUE,560,"Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ic;RAD-B_X_Group-Ic_X;RAD-B_X_Group-Ic_X_sp.;","0.997753906","1","sklearn"
"21","ac71b9d73517e5bd3962444b3f3b16bd",9.43673708108797e-05,4,NA,0.0799703813402443,0.0799703813402443,TRUE,32,"Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Saccharomyces;Saccharomyces_cerevisiae;","","0.606","VSEARCH"
"22","5865c22395cd3b63f468374fde41945c",0.000221778794435073,18,NA,0.353957793409848,0.353957793409848,TRUE,879,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;","0.997116433","1","sklearn"
"23","63ef221d547db1b86fe8c23f1f24f1ed",0.000364612108754515,21,NA,0.410151795631248,0.410151795631248,TRUE,1373,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;","0.994603456","1","sklearn"
"24","05141f9798ebc9277181d7316e5b981a",0.000261547750449512,19,NA,0.372824879674195,0.372824879674195,TRUE,453,"Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ic;RAD-B_X_Group-Ic_X;RAD-B_X_Group-Ic_X_sp.;","0.999939563","1","sklearn"
"25","528299374b8ead4fe9b41c4f1a51f63c",0.00011256274406191,2,NA,0.0399999999999999,0.0399999999999999,TRUE,26,"Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X;Embryophyceae_XX;Brassica;Brassica_rapa;","","0.923","VSEARCH"
"26","4faddf8d0a1b25d1e3498748b17badbe",8.77235791850375e-05,13,NA,0.257882265827471,0.257882265827471,TRUE,114,"Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes","","1","VSEARCH"
"27","86fa2e0fc5cbb3a804cf5a8b56443a56",0.000141939404856855,12,NA,0.238370973713439,0.238370973713439,TRUE,179,"Eukaryota;TSAR;Alveolata;Dinoflagellata","0.975410122","1","sklearn"
"28","589b305ca14555b5f9fe1c4e92a1e845",0.00702314871280053,19,NA,0.372824879674195,0.372824879674195,TRUE,56005,"Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria","0.999996805","1","sklearn"
"29","e61baa3e7315f2d311a4e5e2c338a5f0",7.91391548433805e-05,6,NA,0.119851906701222,0.119851906701222,TRUE,50,"Eukaryota;TSAR;Alveolata;Dinoflagellata","0.904462821","1","sklearn"
"30","7ba38f574ca87b3617faf6997f065f6a",0.0599417736591377,67,NA,0.354720473898556,0.354720473898556,TRUE,411066,"Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_C;Acantharea_C3;Litholophus;Litholophus_spB;","","0.667","VSEARCH"
"31","4551201f130775a70018574f8672f387",0.000558152893438534,23,NA,0.446886338393188,0.446886338393188,TRUE,2941,"Eukaryota;TSAR;Alveolata;Dinoflagellata","0.907238126","1","sklearn"
"32","2d81b41cd61207ce385d651a18ae459b",0.000233128863767547,19,NA,0.372824879674195,0.372824879674195,TRUE,242,"Eukaryota","0.997345316","1","sklearn"
"33","23375d8f3a6cf8184710961d8a3d8350",0.000198204763858375,19,NA,0.372824879674195,0.372824879674195,TRUE,625,"Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Teleaulax;Teleaulax_acuta;","","1","VSEARCH"
"34","427c168ded75474f00872209eda4def6",6.41223561018117e-05,7,NA,0.139740836727138,0.139740836727138,TRUE,48,"Eukaryota;TSAR;Stramenopiles","0.978447034","1","sklearn"
"35","2eb4e7b06997f709845cee5e70405a00",8.19938036069709e-05,17,NA,0.33496482784154,0.33496482784154,TRUE,158,"Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X;Novel-clade-2_X_sp.;","","1","VSEARCH"
"36","df36147881aa7930b78206280b0c840e",8.62144505691164e-05,5,NA,0.0999259533506109,0.0999259533506109,TRUE,100,"Eukaryota;TSAR;Stramenopiles;Gyrista;Gyrista_X;Gyrista_XX;MAST-1;MAST-1C;MAST-1C_sp.;","0.999999999","1","sklearn"
"37","15adf6703f38a14150cd44edc44805ce",0.000258036483884034,20,NA,0.391558681969641,0.391558681969641,TRUE,600,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;","","0.889","VSEARCH"
"38","72d8fac58f05c0edeead0be7931be592",0.000310330594259686,2,NA,0.0399999999999999,0.0399999999999999,TRUE,24,"Eukaryota;Archaeplastida;Streptophyta;Streptophyta_X;Embryophyceae;Embryophyceae_X;Embryophyceae_XX","0.932274697","1","sklearn"
"39","8fb7b01c0d17f1c905aaaf3f22109e4e",0.000225075156815828,5,NA,0.0999259533506109,0.0999259533506109,TRUE,59,"Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus_tauri;","","0.6","VSEARCH"
"40","4e08dd89864c451cc8d5a750c27b8506",0.000175672235066441,2,NA,0.0399999999999999,0.0399999999999999,TRUE,49,"Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;","1","1","sklearn"
"41","549b282850810c3bbdeef32e49089715",0.000120437681680619,2,NA,0.0399999999999999,0.0399999999999999,TRUE,65,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos;Tripos_tenuis;","0.997429752","1","sklearn"
"42","2f07c8bfcb71a26c7c3a487212c42a4c",0.00283928632087994,30,NA,0.205072195483154,0.205072195483154,TRUE,1118,"Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula_sp.;","","0.6","VSEARCH"
"43","86255ff7515dd1c5553eb3a09573a922",0.000653873790052333,25,NA,0.482969270640503,0.482969270640503,TRUE,3067,"Eukaryota;TSAR;Stramenopiles;Gyrista","0.971708107","1","sklearn"
"44","490dada272c54b8e6e57af29c30337ef",0.0282107202156931,66,NA,0.338837467604591,0.338837467604591,TRUE,192932,"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;","","0.875","VSEARCH"
