taxa,stats,contrast,estimate,conf.low,conf.high,adj.p.value
protists,obs,100-10,230.8,95.0,366.7,7E-05
protists,obs,500-10,256.2,123.2,389.1,6E-06
protists,obs,300-10,270.7,134.9,406.6,3E-06
protists,obs,1000-10,282.7,149.7,415.7,6E-07
protists,obs,800-10,335.4,202.5,468.4,6E-09
protists,shannon,10-500,0.4,0.1,0.7,6E-04
protists,shannon,800-500,0.6,0.3,0.8,8E-07
protists,shannon,1000-500,1.2,0.9,1.4,2E-11
protists,shannon,100-500,1.3,1.1,1.6,2E-11
protists,shannon,800-300,0.3,0.0,0.6,3E-02
protists,shannon,1000-300,0.9,0.6,1.2,2E-11
protists,shannon,100-300,1.1,0.8,1.3,2E-11
protists,shannon,1000-10,0.8,0.5,1.0,2E-10
protists,shannon,100-10,0.9,0.7,1.2,2E-11
protists,shannon,1000-800,0.6,0.3,0.9,6E-08
protists,shannon,100-800,0.8,0.5,1.0,8E-11
protists,evenness,300-500,0.0,0.0,0.1,8E-03
protists,evenness,800-500,0.1,0.0,0.1,4E-08
protists,evenness,10-500,0.1,0.1,0.1,2E-11
protists,evenness,1000-500,0.2,0.1,0.2,2E-11
protists,evenness,100-500,0.2,0.2,0.2,2E-11
protists,evenness,800-300,0.0,0.0,0.1,3E-02
protists,evenness,10-300,0.1,0.0,0.1,4E-08
protists,evenness,1000-300,0.1,0.1,0.2,2E-11
protists,evenness,100-300,0.2,0.1,0.2,2E-11
protists,evenness,10-800,0.0,0.0,0.1,3E-03
protists,evenness,1000-800,0.1,0.1,0.1,2E-11
protists,evenness,100-800,0.1,0.1,0.2,2E-11
protists,evenness,1000-10,0.1,0.0,0.1,1E-05
protists,evenness,100-10,0.1,0.1,0.1,6E-11
protists,evenness,100-1000,0.0,0.0,0.1,2E-02